Test,Model Architecture,LearningRate,Stepsize,ImageWidth,ImageHeight,TrainBatchSize,TestBatchSize,GPU,FineTune,Parallel,Iterators
121,senet,0.01,500,224,224,16,16,"0,1",,0,20000
122,senet,0.01,500,224,224,16,16,"0,1",https://drive.google.com/open?id=1SCZpan_gXPM-wIufyjPRuoQuZpjbbFYr,1,20000
123,senet,0.01,1000,224,224,16,16,"0,1",,2,20000
124,senet,0.01,1000,224,224,16,16,"0,1",https://drive.google.com/open?id=1SCZpan_gXPM-wIufyjPRuoQuZpjbbFYr,3,20000
125,senet,0.01,2000,224,224,16,16,"0,1",,4,20000
126,senet,0.01,2000,224,224,16,16,"0,1",https://drive.google.com/open?id=1SCZpan_gXPM-wIufyjPRuoQuZpjbbFYr,5,20000
127,senet,0.01,3000,224,224,16,16,"0,1",,6,20000
128,senet,0.01,3000,224,224,16,16,"0,1",https://drive.google.com/open?id=1SCZpan_gXPM-wIufyjPRuoQuZpjbbFYr,7,20000
129,senet,0.01,4000,224,224,16,16,"0,1",,8,20000
130,senet,0.01,4000,224,224,16,16,"0,1",https://drive.google.com/open?id=1SCZpan_gXPM-wIufyjPRuoQuZpjbbFYr,9,20000
131,senet,0.001,500,224,224,16,16,"0,1",,10,20000
132,senet,0.001,500,224,224,16,16,"0,1",https://drive.google.com/open?id=1SCZpan_gXPM-wIufyjPRuoQuZpjbbFYr,11,20000
133,senet,0.001,1000,224,224,16,16,"0,1",,12,20000
134,senet,0.001,1000,224,224,16,16,"0,1",https://drive.google.com/open?id=1SCZpan_gXPM-wIufyjPRuoQuZpjbbFYr,13,20000
135,senet,0.001,2000,224,224,16,16,"0,1",,14,20000
136,senet,0.001,2000,224,224,16,16,"0,1",https://drive.google.com/open?id=1SCZpan_gXPM-wIufyjPRuoQuZpjbbFYr,15,20000
137,senet,0.001,3000,224,224,16,16,"0,1",,16,20000
138,senet,0.001,3000,224,224,16,16,"0,1",https://drive.google.com/open?id=1SCZpan_gXPM-wIufyjPRuoQuZpjbbFYr,17,20000
139,senet,0.001,4000,224,224,16,16,"0,1",,18,20000
140,senet,0.001,4000,224,224,16,16,"0,1",https://drive.google.com/open?id=1SCZpan_gXPM-wIufyjPRuoQuZpjbbFYr,19,20000
141,senet,0.0001,500,224,224,16,16,"0,1",,20,20000
142,senet,0.0001,500,224,224,16,16,"0,1",https://drive.google.com/open?id=1SCZpan_gXPM-wIufyjPRuoQuZpjbbFYr,21,20000
143,senet,0.0001,1000,224,224,16,16,"0,1",,22,20000
144,senet,0.0001,1000,224,224,16,16,"0,1",https://drive.google.com/open?id=1SCZpan_gXPM-wIufyjPRuoQuZpjbbFYr,23,20000
145,senet,0.0001,2000,224,224,16,16,"0,1",,24,20000
146,senet,0.0001,2000,224,224,16,16,"0,1",https://drive.google.com/open?id=1SCZpan_gXPM-wIufyjPRuoQuZpjbbFYr,25,20000
147,senet,0.0001,3000,224,224,16,16,"0,1",,26,20000
148,senet,0.0001,3000,224,224,16,16,"0,1",https://drive.google.com/open?id=1SCZpan_gXPM-wIufyjPRuoQuZpjbbFYr,27,20000
149,senet,0.0001,4000,224,224,16,16,"0,1",,28,20000
150,senet,0.0001,4000,224,224,16,16,"0,1",https://drive.google.com/open?id=1SCZpan_gXPM-wIufyjPRuoQuZpjbbFYr,29,20000
